timestamp_hour,site_id,arrivals_per_hour,average_service_time_minutes,average_waiting_time_minutes,average_queue_length,maximum_queue_length,charger_utilization,active_charging_sessions,completed_sessions
2018-09-08 04:00:00,JPL,1,764.88,144.05,6.67,8,1.0,15.0,3
2018-09-08 05:00:00,Caltech,2,423.0,118237.93,3546.43,3547,1.0,10.0,2
2018-09-08 05:00:00,JPL,0,,,4.94,6,1.0,15.0,2
2018-09-08 06:00:00,Caltech,0,,,3546.0,3546,1.0,10.0,0
2018-09-08 06:00:00,JPL,0,,,2.37,4,1.0,15.0,4
2018-09-08 07:00:00,Caltech,0,,,3546.0,3546,1.0,10.0,0
2018-09-08 07:00:00,JPL,0,,,0.0,0,0.7654,11.48,8
2018-09-08 08:00:00,Caltech,1,495.93,118122.95,3545.71,3547,1.0,10.0,2
2018-09-08 08:00:00,JPL,0,,,0.0,0,0.3165,4.75,4
2018-09-08 09:00:00,Caltech,0,,,3543.31,3545,1.0,10.0,3
2018-09-08 09:00:00,JPL,0,,,0.0,0,0.1334,2.0,2
2018-09-08 10:00:00,Caltech,0,,,3540.1,3542,1.0,10.0,3
2018-09-08 10:00:00,JPL,0,,,0.0,0,0.0667,1.0,0
2018-09-08 11:00:00,Caltech,0,,,3536.67,3539,1.0,10.0,4
2018-09-08 11:00:00,JPL,0,,,0.0,0,0.0667,1.0,0
2018-09-08 12:00:00,Caltech,0,,,3534.53,3535,1.0,10.0,1
2018-09-08 12:00:00,JPL,2,451.83,0.0,0.0,0,0.0867,1.3,0
2018-09-08 13:00:00,Caltech,1,249.12,117888.67,3534.02,3535,1.0,10.0,2
2018-09-08 13:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 14:00:00,Caltech,3,206.87,117858.2,3533.07,3535,1.0,10.0,3
2018-09-08 14:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 15:00:00,Caltech,2,189.98,117940.85,3532.22,3534,1.0,10.0,5
2018-09-08 15:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 16:00:00,Caltech,3,13.89,117945.18,3531.03,3532,1.0,10.0,1
2018-09-08 16:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 17:00:00,Caltech,7,620.49,118047.85,3533.74,3537,1.0,10.0,3
2018-09-08 17:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 18:00:00,Caltech,3,217.34,118167.83,3536.11,3537,1.0,10.0,4
2018-09-08 18:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 19:00:00,Caltech,6,229.69,118240.68,3537.89,3539,1.0,10.0,2
2018-09-08 19:00:00,JPL,2,198.84,0.0,0.0,0,0.1862,2.79,2
2018-09-08 20:00:00,Caltech,2,183.98,118407.23,3538.17,3539,1.0,10.0,4
2018-09-08 20:00:00,JPL,0,,,0.0,0,0.2,3.0,0
2018-09-08 21:00:00,Caltech,2,641.56,118402.62,3535.98,3538,1.0,10.0,3
2018-09-08 21:00:00,JPL,0,,,0.0,0,0.1723,2.58,2
2018-09-08 22:00:00,Caltech,4,86.48,118390.6,3537.7,3539,1.0,10.0,1
2018-09-08 22:00:00,JPL,0,,,0.0,0,0.0667,1.0,0
2018-09-08 23:00:00,Caltech,2,181.82,118378.72,3539.72,3540,1.0,10.0,1
2018-09-08 23:00:00,JPL,0,,,0.0,0,0.0356,0.53,1
2018-09-09 00:00:00,Caltech,2,101.21,118343.77,3540.93,3542,1.0,10.0,0
2018-09-09 00:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 01:00:00,Caltech,2,139.28,118362.71,3543.77,3544,1.0,10.0,0
2018-09-09 01:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 02:00:00,Caltech,2,89.1,118336.61,3545.09,3546,1.0,10.0,1
2018-09-09 02:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 03:00:00,Caltech,1,773.3,118252.07,3544.29,3545,1.0,10.0,2
2018-09-09 03:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 04:00:00,Caltech,2,748.71,118220.23,3543.39,3544,1.0,10.0,2
